# Wavelength(micron) (rp/rs)^2 Error_Bars
1.258925411794167282e+01 2.989137186521572277e-03 1.000000000000000082e-05
1.254580400345803248e+01 2.973923108629393953e-03 1.000000000000000082e-05
1.250250385119064056e+01 2.977169272000253046e-03 1.000000000000000082e-05
1.245935314356514034e+01 2.976590003982785334e-03 1.000000000000000082e-05
1.241635136479347246e+01 2.972149434082347642e-03 1.000000000000000082e-05
1.237349800086776241e+01 2.973639867703159467e-03 1.000000000000000082e-05
1.233079253955416199e+01 2.970379515769189498e-03 1.000000000000000082e-05
1.228823447038672256e+01 2.974567625371975135e-03 1.000000000000000082e-05
1.224582328466133241e+01 2.973090992308656966e-03 1.000000000000000082e-05
1.220355847542957051e+01 2.971856053499682699e-03 1.000000000000000082e-05
1.216143953749268647e+01 2.969156053241234477e-03 1.000000000000000082e-05
1.211946596739555915e+01 2.967487174701701445e-03 1.000000000000000082e-05
1.207763726342066590e+01 2.983443734387875284e-03 1.000000000000000082e-05
1.203595292558212293e+01 2.973063991631800292e-03 1.000000000000000082e-05
1.199441245561965097e+01 2.967807572865045155e-03 1.000000000000000082e-05
1.195301535699265827e+01 2.966849338110960372e-03 1.000000000000000082e-05
1.191176113487429689e+01 2.970453542753936915e-03 1.000000000000000082e-05
1.187064929614553144e+01 2.967003768101977596e-03 1.000000000000000082e-05
1.182967934938930377e+01 2.965362763607447705e-03 1.000000000000000082e-05
1.178885080488457326e+01 2.965050440445738799e-03 1.000000000000000082e-05
1.174816317460051884e+01 2.968013028386075856e-03 1.000000000000000082e-05
1.170761597219068051e+01 2.966945039778992512e-03 1.000000000000000082e-05
1.166720871298719509e+01 2.966911032877930440e-03 1.000000000000000082e-05
1.162694091399492891e+01 2.964128325952087705e-03 1.000000000000000082e-05
1.158681209388574906e+01 2.973100636346157413e-03 1.000000000000000082e-05
1.154682177299276624e+01 2.964578596684377086e-03 1.000000000000000082e-05
1.150696947330458286e+01 2.962878727014429513e-03 1.000000000000000082e-05
1.146725471845963007e+01 2.963569348960829516e-03 1.000000000000000082e-05
1.142767703374039989e+01 2.963721174903438844e-03 1.000000000000000082e-05
1.138823594606782130e+01 2.964238782337083253e-03 1.000000000000000082e-05
1.134893098399558831e+01 2.965702171306641363e-03 1.000000000000000082e-05
1.130976167770452356e+01 2.964591543395054575e-03 1.000000000000000082e-05
1.127072755899699530e+01 2.966672563808584514e-03 1.000000000000000082e-05
1.123182816129126138e+01 2.962829611086147553e-03 1.000000000000000082e-05
1.119306301961593242e+01 2.964085509145166983e-03 1.000000000000000082e-05
1.115443167060441176e+01 2.963162709265716559e-03 1.000000000000000082e-05
1.111593365248933019e+01 2.965969050194277711e-03 1.000000000000000082e-05
1.107756850509708713e+01 2.964661563117621922e-03 1.000000000000000082e-05
1.103933576984227116e+01 2.967219820703735113e-03 1.000000000000000082e-05
1.100123498972222968e+01 2.965846008911750091e-03 1.000000000000000082e-05
1.096326570931159239e+01 2.966014693053481682e-03 1.000000000000000082e-05
1.092542747475681963e+01 2.970640144583070862e-03 1.000000000000000082e-05
1.088771983377081476e+01 2.967176498427199875e-03 1.000000000000000082e-05
1.085014233562746178e+01 2.967508495092179704e-03 1.000000000000000082e-05
1.081269453115626789e+01 2.969732633070807683e-03 1.000000000000000082e-05
1.077537597273700243e+01 2.969594193137649850e-03 1.000000000000000082e-05
1.073818621429431452e+01 2.970721570845658022e-03 1.000000000000000082e-05
1.070112481129246262e+01 2.974363288944327065e-03 1.000000000000000082e-05
1.066419132072992326e+01 2.971808897526966205e-03 1.000000000000000082e-05
1.062738530113414548e+01 2.973169011683446643e-03 1.000000000000000082e-05
1.059070631255626083e+01 2.972711790313483770e-03 1.000000000000000082e-05
1.055415391656581647e+01 2.971457120260811990e-03 1.000000000000000082e-05
1.051772767624557225e+01 2.970649528994438217e-03 1.000000000000000082e-05
1.048142715618621779e+01 2.974126313843041512e-03 1.000000000000000082e-05
1.044525192248121215e+01 2.967589630750798891e-03 1.000000000000000082e-05
1.040920154272158094e+01 2.965425098907019559e-03 1.000000000000000082e-05
1.037327558599074173e+01 2.965226990884930157e-03 1.000000000000000082e-05
1.033747362285939708e+01 2.967271543073493785e-03 1.000000000000000082e-05
1.030179522538033332e+01 2.970913011286798692e-03 1.000000000000000082e-05
1.026623996708334552e+01 2.968094689640962073e-03 1.000000000000000082e-05
1.023080742297014112e+01 2.971096326625638755e-03 1.000000000000000082e-05
1.019549716950923290e+01 2.969728595995757559e-03 1.000000000000000082e-05
1.016030878463093501e+01 2.966301464584140436e-03 1.000000000000000082e-05
1.012524184772224167e+01 2.967879336949556020e-03 1.000000000000000082e-05
1.009029593962184634e+01 2.963055652881006231e-03 1.000000000000000082e-05
1.005547064261512524e+01 2.963206224821627374e-03 1.000000000000000082e-05
1.002076554042912804e+01 2.961609206068728083e-03 1.000000000000000082e-05
9.986180218227644900e+00 2.959165122329743269e-03 1.000000000000000082e-05
9.951714262606182970e+00 2.959802522894311710e-03 1.000000000000000082e-05
9.917367261587070715e+00 2.962114673147245910e-03 1.000000000000000082e-05
9.883138804614533868e+00 2.960385622602214849e-03 1.000000000000000082e-05
9.849028482549758934e+00 2.962241428436826821e-03 1.000000000000000082e-05
9.815035887666034853e+00 2.960771261906549028e-03 1.000000000000000082e-05
9.781160613643852031e+00 2.964740500557010335e-03 1.000000000000000082e-05
9.747402255566061768e+00 2.965011935015441410e-03 1.000000000000000082e-05
9.713760409913039240e+00 2.966967622855694146e-03 1.000000000000000082e-05
9.680234674557841146e+00 2.969458126267400088e-03 1.000000000000000082e-05
9.646824648761421983e+00 2.970554311873276586e-03 1.000000000000000082e-05
9.613529933167834329e+00 2.971252310812402472e-03 1.000000000000000082e-05
9.580350129799432679e+00 2.971475130078980471e-03 1.000000000000000082e-05
9.547284842052169651e+00 2.971080919504829124e-03 1.000000000000000082e-05
9.514333674690796272e+00 2.978222773882326264e-03 1.000000000000000082e-05
9.481496233844181276e+00 2.973864959612134654e-03 1.000000000000000082e-05
9.448772127000580667e+00 2.975976699015033759e-03 1.000000000000000082e-05
9.416160963002946360e+00 2.973442813598945779e-03 1.000000000000000082e-05
9.383662352044270349e+00 2.971482337058043485e-03 1.000000000000000082e-05
9.351275905662896903e+00 2.973418238498941758e-03 1.000000000000000082e-05
9.319001236737900484e+00 2.978444049960265756e-03 1.000000000000000082e-05
9.286837959484453009e+00 2.978014450166509720e-03 1.000000000000000082e-05
