# Wavelength(micron) (rp/rs)^2 Error_Bars
1.258925411794167282e+01 2.953388704089087314e-03 1.000000000000000082e-05
1.254580400345803248e+01 2.937878916799273755e-03 1.000000000000000082e-05
1.250250385119064056e+01 2.940659182287380918e-03 1.000000000000000082e-05
1.245935314356514034e+01 2.940793407708586216e-03 1.000000000000000082e-05
1.241635136479347246e+01 2.934807949349518483e-03 1.000000000000000082e-05
1.237349800086776241e+01 2.936540459902744430e-03 1.000000000000000082e-05
1.233079253955416199e+01 2.932146569823426349e-03 1.000000000000000082e-05
1.228823447038672256e+01 2.936486225640383852e-03 1.000000000000000082e-05
1.224582328466133241e+01 2.934655680765674290e-03 1.000000000000000082e-05
1.220355847542957051e+01 2.932538125207149494e-03 1.000000000000000082e-05
1.216143953749268647e+01 2.929555921675148882e-03 1.000000000000000082e-05
1.211946596739555915e+01 2.928220573988380739e-03 1.000000000000000082e-05
1.207763726342066590e+01 2.947428818149022689e-03 1.000000000000000082e-05
1.203595292558212293e+01 2.936423436557491183e-03 1.000000000000000082e-05
1.199441245561965097e+01 2.928478841142173692e-03 1.000000000000000082e-05
1.195301535699265827e+01 2.927453547825796011e-03 1.000000000000000082e-05
1.191176113487429689e+01 2.932302827374495650e-03 1.000000000000000082e-05
1.187064929614553144e+01 2.927077500307304417e-03 1.000000000000000082e-05
1.182967934938930377e+01 2.925117561903150826e-03 1.000000000000000082e-05
1.178885080488457326e+01 2.925288681014800388e-03 1.000000000000000082e-05
1.174816317460051884e+01 2.928633441787902199e-03 1.000000000000000082e-05
1.170761597219068051e+01 2.927721471686673977e-03 1.000000000000000082e-05
1.166720871298719509e+01 2.928306529257761626e-03 1.000000000000000082e-05
1.162694091399492891e+01 2.924271312937461956e-03 1.000000000000000082e-05
1.158681209388574906e+01 2.936896089075811435e-03 1.000000000000000082e-05
1.154682177299276624e+01 2.924738808865687614e-03 1.000000000000000082e-05
1.150696947330458286e+01 2.922011464300489081e-03 1.000000000000000082e-05
1.146725471845963007e+01 2.924115424090673303e-03 1.000000000000000082e-05
1.142767703374039989e+01 2.923901940261344930e-03 1.000000000000000082e-05
1.138823594606782130e+01 2.924606280094687195e-03 1.000000000000000082e-05
1.134893098399558831e+01 2.926847032042097056e-03 1.000000000000000082e-05
1.130976167770452356e+01 2.925702999413432297e-03 1.000000000000000082e-05
1.127072755899699530e+01 2.928614424194692350e-03 1.000000000000000082e-05
1.123182816129126138e+01 2.923743066436185461e-03 1.000000000000000082e-05
1.119306301961593242e+01 2.925291179280394786e-03 1.000000000000000082e-05
1.115443167060441176e+01 2.924525581794747663e-03 1.000000000000000082e-05
1.111593365248933019e+01 2.927668583364594936e-03 1.000000000000000082e-05
1.107756850509708713e+01 2.926989697437150199e-03 1.000000000000000082e-05
1.103933576984227116e+01 2.930842449071081445e-03 1.000000000000000082e-05
1.100123498972222968e+01 2.929207556161481964e-03 1.000000000000000082e-05
1.096326570931159239e+01 2.929204204492761622e-03 1.000000000000000082e-05
1.092542747475681963e+01 2.934340738712229099e-03 1.000000000000000082e-05
1.088771983377081476e+01 2.930374565388821611e-03 1.000000000000000082e-05
1.085014233562746178e+01 2.931637732575936937e-03 1.000000000000000082e-05
1.081269453115626789e+01 2.932480066772969862e-03 1.000000000000000082e-05
1.077537597273700243e+01 2.933677196622339924e-03 1.000000000000000082e-05
1.073818621429431452e+01 2.935049449717085524e-03 1.000000000000000082e-05
1.070112481129246262e+01 2.937584481928208306e-03 1.000000000000000082e-05
1.066419132072992326e+01 2.937035980436255786e-03 1.000000000000000082e-05
1.062738530113414548e+01 2.938408007353087315e-03 1.000000000000000082e-05
1.059070631255626083e+01 2.938024921695015466e-03 1.000000000000000082e-05
1.055415391656581647e+01 2.936986032241752607e-03 1.000000000000000082e-05
1.051772767624557225e+01 2.935490203916855424e-03 1.000000000000000082e-05
1.048142715618621779e+01 2.939284482198848466e-03 1.000000000000000082e-05
1.044525192248121215e+01 2.931886769527654139e-03 1.000000000000000082e-05
1.040920154272158094e+01 2.929104907607244217e-03 1.000000000000000082e-05
1.037327558599074173e+01 2.929044216438162537e-03 1.000000000000000082e-05
1.033747362285939708e+01 2.932154696064424599e-03 1.000000000000000082e-05
1.030179522538033332e+01 2.937234042779636976e-03 1.000000000000000082e-05
