CENTRALWAVELNG,PL_TRANDEP,PL_TRANDEPERR
2.74279,0.30735,0.11148
2.74347,0.23426,0.10728
2.74415,0.34178,0.12235
2.74484,0.26382,0.11042
2.74551,0.24518,0.10853
2.74619,0.29754,0.10664
2.74687,0.4248,0.09925
2.74755,0.31953,0.10633
2.74823,0.39777,0.10318
2.74891,0.28834,0.09235
2.74959,0.23271,0.09915
2.75027,0.33479,0.09837
2.75095,0.29234,0.09588
2.75163,0.334,0.08777
2.75231,0.39126,0.09213
2.75299,0.26199,0.08665
2.75435,0.29334,0.08072
2.75503,0.22467,0.08003
2.75571,0.17677,0.08212
2.75639,0.38355,0.08478
2.75707,0.4455,0.08209
2.75775,0.39387,0.0844
2.75843,0.21695,0.07065
2.75911,0.32014,0.07996
2.75979,0.2408,0.08061
2.76047,0.28006,0.07883
2.76115,0.20347,0.07039
2.76251,0.19146,0.06681
2.76318,0.22957,0.06877
2.76387,0.36579,0.07201
2.76454,0.24439,0.07096
2.76522,0.25741,0.06561
2.7659,0.25602,0.06441
2.76659,0.17352,0.06684
2.76726,0.22939,0.06828
2.76794,0.24984,0.06615
2.76862,0.29106,0.06827
2.7693,0.27508,0.06478
2.76998,0.24853,0.0637
2.77066,0.25178,0.06411
2.77134,0.22964,0.05828
2.77202,0.29783,0.06443
2.7727,0.30995,0.06343
2.77338,0.29383,0.05914
2.77406,0.3537,0.05871
2.77474,0.30092,0.05705
2.77542,0.35347,0.05777
2.7761,0.23483,0.05565
2.77678,0.29901,0.05675
2.77746,0.28547,0.058
2.77814,0.15718,0.04888
2.77882,0.29073,0.05632
2.7795,0.16909,0.05227
2.78018,0.34852,0.05338
2.78086,0.38347,0.05315
2.78154,0.30971,0.05313
2.78221,0.27012,0.04861
2.78289,0.27955,0.05405
2.78358,0.33187,0.05153
2.78493,0.35962,0.05239
2.78561,0.33608,0.05123
2.78629,0.28799,0.0517
2.78697,0.21666,0.0482
2.78766,0.30578,0.04877
2.78833,0.27254,0.04839
2.78901,0.3068,0.04749
2.78969,0.32217,0.05149
2.79037,0.34011,0.04755
2.79105,0.34108,0.04735
2.79173,0.29142,0.0477
2.79241,0.31808,0.04814
2.79309,0.26684,0.04722
2.79377,0.36279,0.04574
2.79445,0.29918,0.047
2.79513,0.29422,0.04566
2.7958,0.29482,0.04509
2.79649,0.21758,0.04457
2.79717,0.26502,0.04209
2.79785,0.32024,0.0446
2.79853,0.28764,0.04344
2.7992,0.29728,0.04184
2.79988,0.26702,0.04214
2.80056,0.3293,0.0426
2.80124,0.24532,0.04317
2.80192,0.27908,0.04281
2.8026,0.35004,0.04457
2.80328,0.29688,0.04379
2.80396,0.30954,0.0444
2.80464,0.35126,0.04394
2.80532,0.26514,0.04253
2.806,0.33494,0.04132
2.80668,0.28668,0.04103
2.80736,0.31066,0.03907
2.80804,0.28163,0.04029
2.80872,0.29259,0.04112
2.8094,0.33951,0.03843
2.81008,0.27628,0.03891
2.81076,0.3463,0.04007
2.81144,0.34576,0.03992
2.81212,0.29062,0.03702
2.81279,0.25585,0.03921
2.81347,0.39133,0.04101
2.81415,0.29573,0.03929
2.81483,0.30571,0.03958
2.81551,0.3249,0.0383
2.81619,0.29103,0.03722
2.81687,0.29487,0.03734
2.81755,0.30136,0.04191
2.81823,0.31328,0.03798
2.81891,0.30818,0.03766
2.81959,0.26224,0.03928
2.82027,0.3255,0.03973
2.82095,0.32321,0.03952
2.82163,0.33448,0.0387
2.82299,0.26997,0.037
2.82366,0.30032,0.03802
2.82435,0.29937,0.0364
2.82502,0.3095,0.03666
2.8257,0.28581,0.03597
2.82638,0.36128,0.03609
2.82706,0.34602,0.03681
2.82774,0.28971,0.03516
2.82842,0.33517,0.03459
2.8291,0.25649,0.03556
2.82978,0.30296,0.03531
2.83046,0.33962,0.03625
2.83114,0.28899,0.03636
2.83182,0.27344,0.03543
2.8325,0.25892,0.03479
2.83318,0.34186,0.03315
2.83386,0.33971,0.03721
2.83454,0.27847,0.03416
2.83521,0.27543,0.03578
2.83589,0.28673,0.037
2.83657,0.3293,0.03564
2.83725,0.29674,0.03581
2.83793,0.35933,0.03369
2.83861,0.32084,0.0342
2.83929,0.28352,0.03414
2.83997,0.29343,0.03322
2.84065,0.31517,0.03355
2.84133,0.26216,0.03605
2.84201,0.29544,0.03352
2.84269,0.31086,0.0336
2.84337,0.33788,0.03395
2.84405,0.29872,0.03325
2.84473,0.326,0.03417
2.8454,0.33246,0.0332
2.84609,0.39224,0.034
2.84676,0.32155,0.03245
2.84744,0.3644,0.03388
2.84812,0.31895,0.0334
2.8488,0.29159,0.03385
2.85016,0.36359,0.03435
2.85084,0.25198,0.03277
2.85152,0.26505,0.03281
2.8522,0.28802,0.03366
2.85288,0.32199,0.03386
2.85356,0.29199,0.03241
2.85424,0.28846,0.03435
2.85491,0.29074,0.03304
2.85559,0.31643,0.0336
2.85627,0.25137,0.03322
2.85695,0.34664,0.03234
2.85763,0.27351,0.03236
2.85831,0.27188,0.03144
2.85899,0.32131,0.03199
2.85967,0.32234,0.03096
2.86035,0.33784,0.03144
2.86103,0.28598,0.03214
2.86171,0.32144,0.0316
2.86239,0.27634,0.03169
2.86307,0.2698,0.03121
2.86375,0.27747,0.03168
2.86442,0.23816,0.0329
2.8651,0.25153,0.03129
2.86578,0.27802,0.03232
2.86646,0.28631,0.03115
2.86714,0.27568,0.03141
2.86782,0.30226,0.03121
2.8685,0.31466,0.03292
2.86918,0.31564,0.03152
2.86986,0.2895,0.03358
2.87054,0.29441,0.03193
2.87122,0.29812,0.03105
2.87189,0.27366,0.0311
2.87257,0.27592,0.0324
2.87325,0.34356,0.03309
2.87393,0.28248,0.03329
2.87461,0.26626,0.0313
2.87529,0.32517,0.03209
2.87597,0.25856,0.02961
2.87665,0.2789,0.03103
2.87733,0.30352,0.03146
2.87801,0.25543,0.03425
2.87869,0.3076,0.03098
2.87937,0.28113,0.03111
2.88072,0.26401,0.03061
2.8814,0.32985,0.03059
2.88208,0.28723,0.03082
2.88276,0.30186,0.03163
2.88344,0.3001,0.03134
2.88412,0.29377,0.031
2.8848,0.2976,0.03189
